Address,Latitude,Longitude
"114 Ashley Dr, Manchester, NH 03103",42.95284995276494,-71.41738537014005
"600 Westford St, Lowell, MA 01851",42.633688768963054,-71.33748598572836
"118 Jennison Rd, Milford, NH 03055",42.85643548790971,-71.67372129056587
"3 Holly Ct, Exeter, NH 03833",42.97732443005622,-70.93351595485673
"10 Downing St, Laconia, NH 03246",43.53415008588431,-71.48366979096078
"410 Greenlodge St, Dedham, MA 02026",42.21824175977614,-71.1542835486387
"11 Dyer Ave, Salem, NH 03079",42.79326526292677,-71.23342036472602
"170 Annand Dr, Milford, NH 03055",42.799872581915565,-71.6677765114319
"12698 W 84th Dr, Arvada, CO 80005",39.85163382431541,-105.14277848671144
"40 Countryside Ln, Pelham, NH 03076",42.7688627819627,-71.36450246009198
"44 High Rock Rd, Holliston, MA 01746",42.180761571855406,-71.41001907506141
"41 Frost St, Plantsville, CT 06479",41.58097642119085,-72.91417731921963
"28 Genevieve Dr, Hampden, MA 01036",42.04858118252674,-72.45056832905804
"1727 Sage Lane, Blacksburg, VA 24060",37.2399834551127,-80.45026611131678
"61 Bellflower Rd, Billerica, MA 01821",42.56543872387046,-71.21890532959584
"17 Elmwood Cir, Peabody, MA 01960",42.51157380886432,-70.98407749039592
"19 Pine Top Rd, Amherst, NH 03031",42.8972393760846,-71.62435072175919
"15 Harvest Moon Rd, Londonderry, NH 03053",42.842433095801816,-71.37743125088252
"4 Bonney St, Coventry, RI 02816",41.67950115207007,-71.53743723337392
"64 Juniper Dr, Goffstown, NH 03045",43.02604454441625,-71.5473676123912
"500 Oak Hill Rd, Northfield, NH 03276",43.37834487027005,-71.63043840101578
"38 Stratton Rd Apt 4, Jaffrey, NH 03452",42.81241965124231,-72.02054634145303
"37 Talbot St, Manchester, NH 03109",42.98025553209055,-71.42577757430178
"1171 Sunapee Rd, W Hempstead, NY 11552",40.6804201093667,-73.66115336949439
"9 Hillside Ave, Woburn, MA 01801",42.48448876437789,-71.16213664368885
"167 Shaker Jerry Rd, Moultonborough, NH 03254",43.70155884973991,-71.39088302908749
"197 Broadway, Haverhill, MA 01832",42.779894305519946,-71.10218286426314
"13 Swan Pond Rd, North Reading, MA 01864",42.577085620835454,-71.05549629468192
"187 Andover Rd, Billerica, MA 01821",42.56949201417503,-71.24626662392417
"324 Laurel St. Apt. 2, Manchester, NH 03103",42.98870567900654,-71.44704457480657
"31 Fairmeadow Rd, Wilmington, MA 01887",42.57151631781051,-71.21126592274095
"44 Cedar St, Wethersfield, CT 06109",41.70895625803079,-72.69394048107243
"3 Leary Dr, Tewksbury, MA 01876",42.597450784458985,-71.24074969503825
"15 Pierce Ct, North Weymouth, MA 02191",42.24041224642165,-70.94479150699628
"2 Lilac Ct, Derry, NH 03038",42.85021035224852,-71.30476153154294
"127 Blaine St, Manchester, NH 03103",42.98024488665041,-71.4735250034948
"415 Brunswick Dr Apt 4, Troy, NY 12180",42.74930171130082,-73.63973754267444
"27 Stoney Ln, Hudson, NH 03051",42.80790090490221,-71.39382364259137
"74 Purchase St, Manchester, NH 03103",42.96348693378268,-71.45369334239089
"2 Westview Ter, Milford, NH 03055",42.83930163972986,-71.65124302636184
"71 Regency Place, North Andover, MA 01845",42.67118242122597,-71.08213976363429
"2 Laforge Dr, Coventry, RI 02816",41.70918903175674,-71.55040228163627
"3 Griffin Ln, Litchfield, NH 03052",42.86902292022799,-71.45772778412015
"173 Eastern Ave Apt 203, Manchester, NH 03104",42.99812858608157,-71.41814444623799
"128 Cross St, Lawrence, MA 01841",42.7125561697548,-71.17519755635887
"2201 SW Riverside Dr, Palm City, FL 34990",27.17751886060926,-80.26705944443202
"15 Kimbrough Rd, Billerica, MA 01821",42.56555510513594,-71.22999884601
"90 Manor Rd, Concord, NH 03303",43.26430114411112,-71.5746339777169
"5 Chandler Rd, Wilmington, MA 01887",42.55211756708746,-71.16386868508764
"18 Brookfield Ct, Southington, CT 06489",41.6254201202182,-72.90888955414054
"16 David St, Holliston, MA 01746",42.19825923185324,-71.46559898699417
"7 Ryanwood Ct, Gansevoort, NY 12831",43.14997995760057,-73.7520002208087
"130 Endicott St N Unit 104, Laconia, NH 03246",43.60502953418998,-71.46125364109764
"316 Burrage St., Lunenburg, MA 01462",42.572822879122405,-71.68735858439936
"153 Saratoga St Apt 3, Lawrence, MA 01841",42.72005880533579,-71.16696175780079
"28 Dream Lake Dr, Amherst, NH 03031",42.872541655666495,-71.60365163883904
"8 Arch St, North Brookfield, MA 01535",42.26650954953983,-72.0815315669066
"28 Elva Rd, North Weymouth, MA 02191",42.236045997844265,-70.93480326450901
"12 Sylvan Dr, Salem, NH 03079",42.81673755664887,-71.2375942815093
"722 Valley St, Manchester, NH 03103",42.98134185620548,-71.44356751384935
"102 Rumford Ave, Mansfield, MA 02048",42.027854521936064,-71.2195017823411
"9 Prospect St, Hillsboro, NH 03244",43.111914688985074,-71.89176133334522
"35 Bell St, Nashua, NH 03064",42.79052664474781,-71.46615698789643
"207 Shell Creek Ct, Apollo Beach, FL 33572",27.74102327983041,-82.42603178746597
"21 Fieldstone Dr, Hooksett, NH 03106",43.02257131353502,-71.42488607246648
"58 Kelsey Ln, Glastonbury, CT 06033",41.71071104543642,-72.570624043514
"23 Amy Way, Concord, NH 03303",43.26457379339531,-71.59004085896667
"4 Woodland Ave., Salem, NH 03079",42.79750943393976,-71.2187046758158
"35 Francesca Way, Nottingham, NH 03290",43.101978084151526,-71.09174965061275
"27 Kenwood Rd, Dracut, MA 01826",42.67829259083012,-71.2653317921321
"118 Winterbook Rd, campton, NH 03223",43.85297902956172,-71.62616679008069
"147 Ter Rd, Milford, CT 06460",41.21042067187386,-73.01231139621386
"47 Berry Rd, Derry, NH 03038",42.864078226293024,-71.3009191590458
"14817 Middlethorpe Ln, Huntersville, NC 28078",35.413285435988385,-80.88024230252392
"47 Congress St Apt 11, Nashua, NH 03062",42.737623037212806,-71.49397699449132
"91 Hadley Rd, Merrimac, MA 01860",42.85038331192436,-71.03908325444488
"93 Hot Hole Pond Rd, Concord, NH 03301",43.28737919614016,-71.51481623200884
"17 Pinehurst Ave, Nashua, NH 03062",42.7274360135307,-71.47004609862532
"13 Raleigh Dr, Nashua, NH 03062",42.726941637302254,-71.47218122740153
"16 Grandview Ave, Ossining, NY 10562",41.17844616326059,-73.84583614948801
"27 Clark Cir, Pelham, NH 03076",42.72255661455729,-71.30914141114263
"5 Chisholm Rd, Kingston, NH 03848",42.92182346155935,-71.05363960578097
"101 N. Main St.
Apt A101, Mansfield, MA 02048",42.02710845049082,-71.21744387162617
"3 Moses Hill Rd., Manchester, MA 01944",42.58839912972754,-70.78435134741197
"155 Walnut St, Reading, MA 01867",42.50660396356593,-71.11278227794861
"255 Salem St, Wakefield, MA 01880",42.51335586125802,-71.05524086214018
"295 Winding Hill Dr, Hackettstown, NJ 07840",40.85207405193177,-74.79753197947646
"55 Masthead Dr, Warwick, RI 02886",41.68461335080968,-71.45182933508421
"15 Fairfax Dr, Stratford, CT 06614",41.23093447613286,-73.13868277359397
"32 Columbus Ave, Saugus, MA 01906",42.4638199546698,-71.01177616785353
"26 Damon Ave, Nashua, NH 03064",42.78974280150412,-71.46627046277156
"6 Atherton Rd, Hudson, MA 01749",42.3776728791875,-71.5730639018779
"27 Chagnon Ln, Pelham, NH 03076",42.71131190805622,-71.32264288550807
"3 Pinkham Ave, Mont Vernon, NH 03057",42.89364661438111,-71.67544259257849
"27 Fenton Ave, Laconia, NH 03246",43.52803152192182,-71.47518665709481
"8 Halon Ter, E Longmeadow, MA 01028",42.03852349526623,-72.51719596493585
"8 Captain Cook Way, Plaistow, NH 03865",42.8325125006817,-71.08028963810992
"2 Scenic Ln, Hudson, NH 03051",42.78322295335555,-71.45116950050812
