Address,Date,Longitude,Latitude
"127B N Main St, South Deerfield, MA 01373",2023-08-18,,
"4890 SW 4th St, Coral Gables, FL 33134",2023-08-18,,
"2861 NW 15th St, Fort Lauderdale, FL 33311",2023-08-18,,
"16511 79th Ter N, West Palm Beach, FL 33418",2023-08-18,,
"18712 NW 27th Ave Apt 309, Miami Gardens, FL 33056",2023-08-18,,
"1763 Four Mile Cove Pkwy Apt.624, Cape Coral, FL 33990",2023-08-18,,
"5301 S Yosemite St Apt 23-101, Greenwood Village, CO 80111",2023-08-18,,
"1629 Sw 2nd Ter, Cape Coral, FL 33991",2023-08-18,,
"2901 NE 2Nd Ter, Pompano Beach, FL 33064",2023-08-18,,
"165 Iron Mine Hill Rd, North Smithfield, RI 02896",2023-08-18,,
"3269 E Main St, Center Conway, NH 03813",2023-08-18,,
"120-33 180th St, New York, NY 11434",2023-08-18,,
