Coordinates,Date,State,County,Urban Area,Census Block,Census Tract
"(-71.48366979096078, 43.53415008588431)",2023-08-18,New Hampshire,Belknap,,4003,9660.0
"(-71.23342036472602, 42.79326526292677)",2023-08-18,New Hampshire,Rockingham,,1001,1002.0
"(-71.67372129056587, 42.85643548790971)",2023-08-18,New Hampshire,Hillsborough,,2004,161.0
"(-70.93351595485673, 42.97732443005622)",2023-08-18,New Hampshire,Rockingham,,3009,1064.0
"(-71.41738537014005, 42.95284995276494)",2023-08-18,New Hampshire,Hillsborough,,2011,26.0
"(-71.33748598572836, 42.633688768963054)",2023-08-18,Massachusetts,Middlesex,,3001,3115.0
"(-71.36450246009198, 42.7688627819627)",2023-08-18,New Hampshire,Hillsborough,,2004,2001.01
"(-71.1542835486387, 42.21824175977614)",2023-08-18,Massachusetts,Norfolk,,2005,4023.0
"(-71.6677765114319, 42.799872581915565)",2023-08-18,New Hampshire,Hillsborough,,1019,162.02
"(-105.14277848671144, 39.85163382431541)",2023-08-18,Colorado,Jefferson,,2017,98.15
"(-71.28011875830927, 42.65783195278204)",2023-08-18,Massachusetts,Middlesex,,4004,3143.01
"(-71.79360115157061, 42.28351488001048)",2023-08-18,Massachusetts,Worcester,,2004,7304.02
"(-70.5923381495172, 41.880355089228594)",2023-08-18,Massachusetts,Plymouth,,1021,5308.01
"(-70.87569721128925, 42.87288063036033)",2023-08-18,Massachusetts,Essex,,2011,2671.02
"(-70.53575261638741, 41.580330542530376)",2023-08-18,Massachusetts,Barnstable,,3004,145
"(-71.47076327469829, 43.52896948915933)",2023-08-18,New Hampshire,Belknap,,3010,9660
"(-70.04933884216314, 41.763361800477945)",2023-08-18,Massachusetts,Barnstable,,4002,109
"(-72.94778828876237, 41.27855947697342)",2023-08-18,Connecticut,South Central Connecticut,,3002,1545
"(-87.67569665235467, 41.755334084048805)",2023-08-18,Illinois,Cook,,5009,7104
"(-71.3904809829353, 41.86571410672746)",2023-08-18,Rhode Island,Providence,,3000,165
"(-71.42678759685826, 42.97861300056865)",2023-08-18,New Hampshire,Hillsborough,,4002,11
"(-70.60731642379466, 43.47023248630498)",2023-08-18,Maine,York,,2024,245.01
"(-71.0731025553041, 42.846915142492215)",2023-08-18,New Hampshire,Rockingham,,3005,1021
"(-71.29898091706045, 42.5982402086507)",2023-08-18,Massachusetts,Middlesex,,5000,3165
"(-71.64765866978021, 43.45431403427567)",2023-08-18,New Hampshire,Merrimack,,2023,430.02
"(-71.78362067846247, 41.381933342319456)",2023-08-18,Rhode Island,Washington,,3032,509.01
"(-71.53203512651449, 42.72298533709253)",2023-08-18,New Hampshire,Hillsborough,,2012,115
"(-74.2353395915952, 39.57321185417843)",2023-08-18,New Jersey,Ocean,,1067,7380.01
"(-71.38253836736514, 42.88535771326884)",2023-08-18,New Hampshire,Rockingham,,1008,38.01
"(-71.64982553306211, 42.15142610999416)",2023-08-18,Massachusetts,Worcester,,1013,7503
"(-118.02164058409484, 33.710404891391065)",2023-08-18,California,Orange,,1007,994.04
"(-71.29955876229232, 42.59226820396298)",2023-08-18,Massachusetts,Middlesex,,5000,3165
"(-71.25947914741022, 43.07506821264351)",2023-08-18,New Hampshire,Rockingham,,1001,500
"(-71.24376120171283, 42.92857060381535)",2023-08-18,New Hampshire,Rockingham,,1061,510
"(-71.14244189097302, 42.40429869115108)",2023-08-18,Massachusetts,Middlesex,,1002,3561
"(-71.46046364674527, 42.15651940114088)",2023-08-18,Massachusetts,Norfolk,,2009,4081.03
"(-71.82968581168713, 42.20337804643997)",2023-08-18,Massachusetts,Worcester,,1003,7365
"(-70.46634119830189, 43.47969662473108)",2023-08-18,Maine,York,,1003,251
"(-70.8742100645021, 42.28620340510862)",2023-08-18,Massachusetts,Plymouth,,4006,5001.04
"(-71.60187404037683, 43.27774701253676)",2023-08-18,New Hampshire,Merrimack,,3001,443
"(-71.7858541272589, 42.13650644554032)",2023-08-18,Massachusetts,Worcester,,1010,7511.02
"(-71.04464444036499, 42.50944523648312)",2023-08-18,Massachusetts,Middlesex,,3000,3353.02
"(-72.67529658924093, 42.073221701090944)",2023-08-18,Massachusetts,Hampden,,1015,8132.06
"(-70.80055220837603, 42.61713268054363)",2023-08-18,Massachusetts,Essex,,2003,2221
"(-71.12503169592674, 41.78166474779101)",2023-08-18,Massachusetts,Bristol,,2001,6441.02
"(-72.68509565344633, 41.522619717006506)",2023-08-18,Connecticut,Lower Connecticut River Valley,,4004,5801
"(-71.56958831610545, 43.24227604850251)",2023-08-18,New Hampshire,Merrimack,,2008,326
"(-71.07634697171362, 42.83891159481499)",2023-08-18,New Hampshire,Rockingham,,2007,1011.01
"(-69.94356641969858, 44.21081821703364)",2023-08-18,Maine,Kennebec,,1004,120
"(-70.43521875896373, 41.73154293850991)",2023-08-18,Massachusetts,Barnstable,,3020,134
"(-71.10090875672859, 42.82751230093054)",2023-08-18,New Hampshire,Rockingham,,1001,1011.01
"(-75.16901701318271, 39.92280742414107)",2023-08-18,Pennsylvania,Philadelphia,,3007,40.01
"(-72.03830637547766, 42.948120259397406)",2023-08-18,New Hampshire,Hillsborough,,1013,240
"(-70.65802598012402, 42.07682826095462)",2023-08-18,Massachusetts,Plymouth,,3030,5062.03
"(-71.17201223091247, 42.92460350097917)",2023-08-18,New Hampshire,Rockingham,,2036,520
"(-75.35173945429887, 39.86241883334717)",2023-08-18,Pennsylvania,Delaware,,1009,4047
"(-71.01428972539432, 42.068636181002326)",2023-08-18,Massachusetts,Plymouth,,3014,5113.01
"(-71.33963957409529, 41.76668494847755)",2023-08-18,Rhode Island,Providence,,1004,107.02
